bad_token,good_token
bell',bello
mezz',mezzo
anni',anni
citta',città
puo',può
tutt',tutto
ca',ca
nient',niente
prim',primo
qualcos',qualcosa
quant',quanto
nessun',nessuno
più',più
del',del
tant',tanto
al',al
null',nulla
nel',nel
il',il
vent',venti
perché',perché
può',può
circa',circa
così',così
do',do
una',una
dev',deve
se',se
molto',molto
quart',quarto
qualcun',qualcuno
stile',stile
in',in
era',era
della',della
con',con
colazione',colazione
trent',trenta
hotel',hotel
xo',però
non',non
primi',primi
flop',flop
buffe',buffet
don',don
sarà',sarà
san',santo
porta',porta
chiamato',chiamato
gogo',gogo
gogò,gogo
zi',zio
ahime',ahimè
aime',ahimè
aime,ahimè
piano',piano
fuori',fuori
nostro',nostro
xche',perchè
maitre',maitre
dipinto',dipinto
posso',posso
come',come
second',secondo
disponibilità',disponibilità
quattr',quattro
vetusta',vetusta
ques',questo
ho',ho
alcunche',alcunchè
the',the
cosicché',cosicchè
alla',allah
sa',sa
per',per
forse',forse
tutto',tutto
zulu',zulù
mare',mare
sul',sul
vabbe',vabbè
qust',questo
tornerò',tornerò
oltre',oltre
ha',ha
po',poco
